arabic,english
غرفه معيشتنا مشمسه,our living room is sunny
انت لابد ان تجد عملا,you must find work
اين كان الخطا,where was the mistake
حاولت رفع معنوياته,i tried to cheer him up
افهم قصدك,i see what you mean
ساقرر,ill decide
يركب ابي الدراجه الي عمله,my father goes to work by bike
دافعوا عن انفسكم,defend yourselves
ها قد اتي الباص,here comes the bus
ما فعلته انا كان خاطئا,what i did was wrong
انتظر دقيقه توم,wait a minute tom
الرياضيات ماده صعبه بالنسبه لي,mathematics is difficult for me
انا كبير بما يكفي لاقود,im old enough to drive
انت جبان,youre a coward
سيسعدني رؤيه ذلك,i would like to see it
لا يحب كل الاطفال التفاح,not all children like apples
ها هو مفتاحك,this is your key
كان هناك قليل من الحليب المتبقي في الزجاجه,there was only a little milk left in the bottle
لا افهم,i dont understand
مشينا في الغابه,we ran in the park
افحص مجددا,check again
توقف عن غيظ اخيك,stop teasing your brother
انا متاكد ان الجميع ينتظر,i bet everyone is waiting
هذا ما تريده النساء,thats what women want
توقف الحصان و رفض ان يتحرك,the horse stopped and refused to move
احب قراءه الكتب,i like reading books
ايمكنك قراءه اللافته التي امامنا,can you read that sign ahead of us
ظننت انك قد تود الذهاب معي,i thought you might want to come along
يفهم توم المخاطر,tom understands the risks
حان وقت ذهابي,its time for me to go
اهم شيء ان تهتم بما تاكله,above all watch your diet
انت لست صديقنا,you are not our friend
توم ليس في البيت,toms not home
انا اعمل في بلده بالقرب من روما,im working in a town near rome
نحتاج ان نتواصل مع بعضنا البعض,we need to communicate with each other
ذاك فندق,thats a hotel
استمر الجو الممطر عشره ايام متواصله,the rainy weather lasted for ten days straight
لا تستسلم ان فشلت,dont give up if you fail
كان الصوت الوحيد المسموع هو تكتكه الساعه,the only sound to be heard was the ticking of the clock
متي اتصلت بماري اخر مره,when was the last time you called mary
جلسوا تحت ظل شجره,they sat in the shade of a tree
ما الذي ايقظك,what woke you up
كم عمره,what is his age
لا بد انه يحبك,he must love you
الباب مقفل,the doors locked
ارغمته ان يفتح الباب,i made him open the door
هل هو ياباني,is he japanese
ساخذ اذنا ليومين,im taking a couple of days off
لهذه المسرحيه ثلاثه فصول,this play has three acts
ماذا ستفعل الليله,what are you going to do tonight
متي كان لديك الوقت لتفعل ذلك,when did you have time to do that
الشاب الذي كان هنا اعطاني هذه لك,that guy who was just here gave me this for you
اكيد لديك كثير من الاسئله,you certainly have a lot of questions
انت تبدين بحاله جيده جدا,you look very good
اظن انه يمكنني الركض بمثل سرعه توم,i think i can run as fast as tom
ابق بعيدا عني,stay away from me
هذه جنازتك,thats your funeral
توم لديه سياره,tom has a car
هو دائما في المنزل ايام الاثنين,he is always at home on mondays
ولد جورج واشنطن عام 1732,george washington was born in 1732
دفتر يومياتك عندي,i have your diary
اتحدثت مع توم,have you spoken to tom
لم اعره انتباها,i didnt pay attention to him
هل يمكنني استخدام هذا,may i use this
دعنا نصنع تجاره,lets make a trade
ما مدي ارتفاعها,how high is it
اتمني ان يكون لديك وقت اكثر لي,i wish you had more time for me
ها هي محفظتي,heres my wallet
دعونا نستعد للذهاب,lets get ready to go
اقبل ولكن بشرط واحد,i accept but only under one condition
قتل بالسيف,he was killed with a sword
بالنسبه لي هذا الكتاب صعب القراءه,this book is hard for me to read
انت دائما ما تشتكي,you are always complaining
شعرنا بالبيت يهتز قليلا,we felt the house shake a little
الامر غريب,its pretty weird
هلا اوصلتني الي المستشفي,will you drive me to the hospital
هم اتهموني بالكذب,they accused me of being a liar
انه عبقري,he is a genius
طلقت زوجها,she divorced her husband
اذا فعلت ذلك قد اكون قادر علي مساعدتك,if you do it i might be able to help you
من فضلك ترجم هذه الجمله الي اليابانيه,please translate this sentence into japanese
هناك الكثير من الطلبه في القاعه الرياضيه,there are a lot of students in the gym
كان توم اخر طفل يذهب الي منزله,tom was the last kid to go home
هناك شئ واحد اخرعلي فعله,i just have one other thing to do
ماذا يسمي هذا الطائر,whats that bird called
سانضم اليك لاحقا,ill join you later
اوجدت الكتاب الذي كنت تبحث عنه,did you find the book you were looking for
هل تعرف كيف اصل الي منزل توم,do you know how to get to toms house
هذا ما حدث هنا يوم الاثنين,thats what happened here on monday
هذا المكتب ياخذ مساحه كبيره,this desk takes up too much room
احدهم يراقبك,someone is watching you
انا مستعده,im ready
افضل ان اجلس بجوار النافذه,id like to sit by the window
ايها حقيبتك,which is your bag
اريد اجابه منك في اسرع وقت ممكن,i want an answer from you as soon a possible
هل العشاء جاهز,is dinner ready
انت صديقي,you are my friend
لا يمكن ان تكون جادا,you cannot be serious
توم لا يحب اكل الجبن,tom doesnt like cheese
انا لا اشرب الكحول,i dont drink alcohol
ما غرض زيارتك,what is the purpose of your visit
هم يطالبون بساعات عمل اقل,they are demanding shorter working hours
ياكلون بالشوكه و السكين,they eat with a knife and fork
لا شكرا لك لقد شبعت,no thank you im full
انا في المنزل,i am in the house
لن انساك ابدا,ill never forget you
انا بدين جدا,im so fat
ما قلته هو محض هراء,what you said is complete nonsense
اي سياره هي سيارتنا,which car is ours
يقال انها ولدت في المانيا,they say that she was born in germany
يبدو ان رئيس القسم يحب استغلال سلطته,the section chief seems to like abusing his authority
اكنت تعرف والدي,did you know my father
هيا بنا نذهب الي اي مكان اخر,lets go somewhere else
هذا عظيم,thats great
ماذا تطبخ,what are you cooking
اردت ان اتاكد انك ستاتي الي هنا,i needed to make sure youd come here
اعتقل لقيادته و هو سكران,he was arrested for drunken driving
ينبغي ان تخجل من جهلك,you should be ashamed of your ignorance
تابع علي طول هذا الطريق وسيكون مكتب البريد علي يسارك,go along this street and youll come to the post office on the left
الافضل ان تستشير الطبيب,youd better consult the doctor
هيا لنرجع الي المنزل,let us go home
لا ادري ان كان ليفعلها لاجلي,i dont know if he would have done it for me
بتنا في هاكوني,we stayed overnight in hakone
ان لم تعمل لن تستطيع الاكل,if you dont work you cant eat
نظف زجاج النافذه بقطعه قماش مبلوله,clean the window with a damp cloth
ما حال اختك الان,what has become of your sister
العب التنس كل يوم,i play tennis every day
من اين تعرف هذا,how do you know that
انا بخير,i am okay
كان يجب عليك ان تقول الحقيقه لتوم,you shouldve told tom the truth
لا يمكن ان يدوم طويلا,it cannot last long
من سيعتني بالطفل,who will take care of the baby
حاول توم قتلنا,tom tried to kill us
انا لا اريد ان تتاخر علي الصف,i wouldnt want you to be late for class
ان كانت رائحته غريبه فلا تاكله,if it smells funny dont eat it
هل تاتي الي هنا كل يوم,do you come here every day
انا سببت هذا,i caused this
يجب عليك ان تختار وظيفه تتعلق بمواهبك واهتماماتك,you should choose a job in relation to your talents and interests
اتمشي كل يوم,i walk every day
متي يفتح المصرف,when does the bank open
اعتقد انك مصيب,i think youre right
انه لمن المهم جدا الحصول علي ما يكفي من الراحه,its very important to get enough rest
متي تستيقظ,when do you get up
انا لا اهتم للربح,i dont care about profit
انت يمكنك ان تاتي معنا,you can come with us
هل سبق لك ان ذهبت الي فرنسا,have you been to france before
ربما ستمطر بعد قليل,it may rain soon
تظاهر توم بانه لم يري ماري,tom pretended that he didnt see mary
لا تكذب ابدا,never tell a lie
لا استطيع ان اتذكر ما اكلته بالامس,i cant remember what i had to eat yesterday
اصطدمت سيارته بشجره,his car ran into a tree
لست متاكدا علي ماذا انظر,im not sure what im looking at
ليس هذا ما اردت اخبارك عنه,thats not what i wanted to tell you
ذبلت الازهار,those flowers have died
دعينا ننقسم,lets split
قال توم بانه اعتقد ان الاقتصاد كان من المحتمل ان يتحسن,tom said that he thought the economy was likely to get better
ماذا حدث لطفلتك,what happened to your daughter
رفضت عرضي,she turned down my proposal
درست الانجليزيه لمده خمس سنوات,ive studied english for five years
انها لا تحتاج الي ان تعمل,she doesnt need to work
اثمه ما تريد اخباري عنه,is there anything that you want to tell me
اتريد مني مساعدتك في ذلك,do you want me to help you do that
لا استطيع ان احتمل ذلك الصوت المزعج اكثر من ذلك,i cant bear the noise any longer
من الافضل لك ان تسرع اذا اردت ان تصل الي المنزل قبل حلول الليل,youd better hurry up if you want to get home before dark
اوامري مطلقه,my orders are absolute
اننا مسؤولون عن حمايتك من الان فصاعدا,we are responsible for your protection from now on
اندفع توم زياده,tom got a little carried away
متي ستعود الي المنزل,when will she return home
قبل ان تكتب شيئا ينبغي ان تتاكد من الحقائق,you should make sure of the facts before you write something
ماذا تري في الصوره,what do you see in the picture
متي ولدت,when were you born
هذه المدرسه ليس لديها نظام تدفئه,this school has no heating
ها هو كتابك,here is your book
قضي توم معظم الايام يتسول من اجل المال امام مناطق الجذب السياحيه,tom spent most days begging for money in front of tourist attractions
انا اتتطلع لرؤيتك في ثوب الزفاف,im looking forward to seeing you in your wedding dress
كيف حالك,how are you
لم يعد توم مدرسا للفرنسيه بعد الان,tom isnt a french teacher anymore
قطع البطاطا,cut the potatoes
توم هو الوحيد الذي يعرف ما حصل,tom is the only one who really knows what happened
تتكلم و كانك رئيس عملنا,you talk as if you were the boss
سياتي الربيع قريبا,spring will come soon
استرح,have a seat
هل هو يتحدث الانجليزيه الفرنسيه او الالمانيه,is he speaking english french or german
لا اتكلم الالمانيه,i dont speak german
ربما يجب ان تفعل ذلك الان,perhaps you should do that now
يمكننا فتح النافذه,we can open the window
ذلك الكتاب صغير,that book is small
هل تمانع في الوقوف جانبا,would you mind standing aside
انها تعزف علي الكمان بمهاره,she plays the violin very well
لا تنس تذكره الدخول,dont forget the ticket
هل ساعتك دقيقه الوقت,is your watch correct
ستتزوج برجل ثري,she will get married to a rich man
لا تقلق انا سافعلها,dont worry ill do it
اشتري توم زوج قفازات دراجه ناريه جلديه,tom bought a pair of leather motorcycle gloves
سانتظرك امام المدرسه,i will wait for you in front of the school
ستفهم ذلك يوما ما,one day you will understand
ماذا افعل الان,what should i do
شارك كثير من الطلاب في المسابقه,many students took part in the contest
من الذي ربح,who won
هذا ليس عدلا,that isnt fair
هو يفتقر الي الخبره,he is lacking in experience
ساحضر فوطه اخري,ill bring one more towel
انقطعت الكهرباء,the power went out
هو رجل حكمه,he is a man of wit
لا يحب احدا الحرب,no one loves war
نصحني الا اقود بسرعه,he told me not to drive too fast
الجو بارد,its cold
املك سياره,i have a car
اعرفه باسمه الاول,i know him by his first name
ذهبت الي المستشفي البارحه,i went to the hospital yesterday
قال توم بانه راي ماري البارحه,tom said he saw mary yesterday
وافقتها الراي,i agreed with her
اني انتظرك منذ خمس ساعات,ive been waiting for you for 5 hours
اعرفك بصديقي,may i introduce my friend to you
انك لا تنصت مطلقا من الافضل لي ان اتحدث الي الجدار,you never listen i might as well talk to the wall
هناك بعض الاولاد في المنتزه,there are some boys in the park
اخبرني عن طفولتك,tell me about your childhood
السماء مليئه بالنجوم,the sky is full of stars
بقيت تعمل,she kept on working
من يضحك اخيرا يضحك كثيرا,he who laughs last laughs best
الافضل ان تذهب بالحافله,youd better go by bus
الكرز احمر,cherries are red
هل تذكر اليوم الذي تقابلنا فيه انا وانت اول مره,do you remember the day when you and i first met
من يقف هناك هو توم,the guy standing over there is tom
كم كلمه انجليزيه تعرف,about how many english words do you know
عاده ما يذهبون الي المدرسه من الاثنين الي الجمعه,they usually go to school from monday to friday
افعل ما يخبرك توم به لتفعله وكل شئ سيكون بخير,do what tom tells you to do and everything will be fine
اضمن لك ان هذه المعلومات صحيحه,i guarantee that this information is correct
انفجر غضبا,he exploded with anger
ربما توم يستطيع ان يفعل شيئا للمساعده,maybe tom can do something to help
هل تود القدوم,would you like to come
اخطط لدعوه ضيوف كثيرين الي حفل الافتتاح,i plan to invite a lot of guests to the opening ceremony
اعطاني عمي سيارته,my uncle gave me his car
يمكنك الذهاب الي اين تشاء,you may go anywhere
تفضل الحساب,here is the bill
القطار سوف يغادر,the train is about to leave
انا واقع في حبك,im in love with you
كان من الصعب ازاله بقعه القهوه,it was difficult to remove the coffee stain
صرخت طالبه المساعده,she screamed for help
هو قادر علي تدريس كلا من الانجليزيه والفرنسيه,he is capable of teaching both english and french
في اليابان السنه الدراسيه الجديده تبدا في ابريل,in japan a new school year starts in april
احب ان اقرا الكتب,i love to read books
هو لن يكون مستعدا,he will not be ready
هنا موقع الحادث,this is where the accident happened
ما زلت غير مصدقا اننا فزنا,i still cant believe we won
لا احد اعرفه يكتب خطابات بعد الان,no one i know writes letters anymore
لدي الاس الكوبا,i have the ace of clubs
انا اريد بيره,i want a beer
سيغضب توم كثيرا ان عرف اني قلت لك هذا,if tom finds out i told you this hell be very angry
ايمكنك ان تريني ذلك,can i see this one
ذهبت ايضا,i also went
عقدت العزم علي ان اكون عالما في العلوم الطبيعيه,i am determined to be a scientist
لسنا خائفين,were not afraid
لماذا يعاملنا توم بلطف بالغ,why is tom being so nice to us
لا ادري كيف فعلتها,i dont know how you did it
اتظنها كانت حادثه,do you think it was an accident
خير اصدقاء الفتاه الالماس,diamonds are a girls best friends
اعدت اليه كتابه,i returned his book to him
عليك ان تتعلم الصبر علي هذا الجو,you have to learn to put up with this weather
انا حر,im free
ابنتي في المستشفي لانها اصيبت في حادث سير,my daughter is in the hospital because she was injured in a traffic accident
عمر السيده اربعون عاما علي الارجح,the lady is forty years old at most
يوجد مقهي امام المحطه,theres a coffee shop in front of the station
انت امي,you are my mother
انه يعمل في المختبر,he works in the lab
من تلك البنت,whos that girl
هل لي بكاس ماء,may i have a glass of water
الكبار فقط بامكانهم مشاهده ذاك الفلم,only adults may watch that film
لقد خنتني,you betrayed me
كنا جميعنا حاضرون وقت حفل زفافها,we were all present at her wedding
ما انطباعك عن امريكا,whats your impression of the united states
لم العب الجولف بتاتا,i never played golf
لا افهم,i do not understand
كان هنالك ثلاثه رجال,there were three men
سياخذ هذا وقتا,this will take time
ذلك سبب انفعاله,that is why he got angry
انه لا يشرب الكحول علي الاطلاق,he never drinks alcohol
يصعب علي ان اقرر ايها ساشتري,im finding it difficult deciding on which one to buy
ارجع,get back get back
ابق عينيك مفتوحتين,keep your eyes open
ها هي حقيبتك,here is your bag
هناك ما اريد قوله لك,i have something that i want to say to you
لم تملك اي مال لذا لم تستطع الذهاب معي,she didnt have any money so she couldnt go with me
ذهب توم وماري الي الشاطئ,tom and mary went to the beach
نحن طلاب,we are students
هو غادرنا,he has left us
تم ترقيتها,she was promoted
فيما عدا ايام الجمعه فان توم دائما ما يرتدي ربطه عنق الي العمل,tom always wears a tie to work except on fridays
صححني اذا كنت مخطئا,correct me if i am wrong
بحثوا بكل السبل محاولين تجنب الحرب,they explored every avenue in an attempt to avoid war
الجو معتدل هنا,the climate here is mild
لا احد يتكلم معي,no one speaks with me
حدث بعده سكون طويل,a prolonged silence followed
ساعمل ما بوسعي لاجل توم,ill do anything i can for tom
هل سمح لك عمك ان تقود سيارته,did your uncle let you drive his car
يلعب الاولاد باللعب,children play with toys
تبدو احمقا,you look stupid
ظننت انك قد تود مرافقتي,i thought you might want to come along
لقد رايت للتو حيوان الابوسوم,i just saw an opossum
ترك لي توم رساله,tom left me a message
لا يمكنني المكوث طويلا اليوم,i cant stay long today
صفعته علي وجهه,i slapped his face
نجا من الحادثه شخص واحد,only one person survived the accident
هذا سؤال جيد,this is a good question
سابقي هنا لشهر كامل,ill stay here a whole month
تفضل بالدخول,please come in
مرحبا ادخل,hi come on in
اهناك مقاس اكبر,do you have a larger size
ينتظرك توم للتحدث معك,tom is waiting to talk to you
من فضلك اخلط الورق جيدا,please shuffle the cards carefully
توم دعا ميري الي العشاء,tom invited mary to supper
ما اروع منزلك,your house is very nice
ذهب الي المحل التجاري,he went to the shop
ربما علي ان لا ادعوا توم الي الحفله,maybe i shouldnt invite tom to the party
واحد زائد اثنان يساوي ثلاثه,one plus two equals three
انا لم ارك في حفله الكوكتيل الاسبوع الماضي,i didnt see you at my cocktail party last weekend
برايك لكم من الوقت يستطيع توم حبس نفسه,how long do you think tom can hold his breath
ساعترف باني مخطئ,ill admit im wrong
انهم لم يكونوا مدعويين,they were not invited
الجسر في طور البناء,the bridge is under construction
وضع الكتاب علي الرف,he placed the book on the shelf
هل يبدو هذا مالوفا لك,does this look familiar to you
تعرف ما اعنيه,you know what i mean
انت لست جاهزا بعد,youre not ready yet
جربها مره بعد اخري,he tried it over and over again
انا احفظ النشيد الوطني,i am memorizing the national anthem
في هذه البركه الكثير من سمك الشبوط,this pond has a lot of carp
اتيت سيرا علي الاقدام,i came on foot
احتاج طابعا بريديا,i need to get a stamp
ليس عندي وقت لانجز واجباتي,i have no time to do my homework
استيقظ,wake up
علي الذهاب الي النوم,i have to go to sleep
لقد خدعتني تماما,you had me completely fooled
انا من رومانيا,im from romania
هذه السكين حاده للغايه,this knife is very sharp
كم كلفتك التذاكر,how much did the tickets cost you
ايمكنني استعاره قلمك,can i borrow your pen
يمكنك دوما الاعتماد علي توم,you can always count on tom
ماذا حدث بالامس,what happened last night
هرب الرجل عقب رؤيه الشرطي,seeing the policeman the man ran away
لا اريد ان تحرق جثتي,i dont want to be cremated
يبدو من منظر السماء انها من الممكن ان تمطر اليوم بعد الظهر,judging from the look of the sky it may rain this afternoon
لم اقصد ان اؤذيك,i didnt mean to hurt you
ماذا فعلت في الاجازه الماضيه,what did you do last vacation
سافعل اي شيء من اجلك,i will do anything for you
الست طوم,arent you tom
خربشني قط,a cat scratched me
هل تفضل ان تكون بدين وقبيح او ان تكون نحيف ومثير,would you rather be fat and ugly or thin and sexy
دعينا نذهب لنري ان كان توم يستطيع ان يساعدنا,lets go see if tom can help us
لا يحتاج الاطفال غرفا خاصه بهم,children dont need their own rooms
ليس عليك ان تدرس,you dont have to study
انظر الي ذلك,take a look at that
لا تزعجها,do not disturb her
لا يمكنني التركيز عندما تكون هنا,i cant concentrate while youre here
هي ليست هنا,shes not here
استمع الي الراديو كل ليله,i listen to the radio every night
اجب علي اسئلتي,answer my questions
ايهما تفضل اللحم ام السمك,which do you like better meat or fish
كيف لي ان اعرف,how should i know
فكر في مستقبلك,think about your future
ايمكنك ان تغلف هذا كالهدايا من فضلك,can you giftwrap this please
من فضلك اعرني كتابك,lend me your book please
لا اريد القيام بعمله نيابه عنه,i dont want to do his work for him
اندلعت الحرب عام ١٩٣٩ للميلاد,war broke out in 1939
لا يمكنني البقاء طويلا اليوم,i cant stay long today
استمع الي توم,listen to tom
انا لا اعرف اسمه,i dont know his name
هلا اعطيتني ولاعه,will you give me a light
هذه نكته,this is a joke
عمال السكك الحديديه سيضربون عن العمل غدا,the railroad workers are going on strike tomorrow
هي ليست اختي,shes not my sister
من المؤكد انه ممكن,its definitely possible
تمكنت من اقناع ابن عمي علي قبول خطتي,i managed to persuade my cousin into accepting my plan
تحتاج اقلامك الي بري,your pencils need sharpening
لم يتحدث توم عن ماري قط,tom never talked about mary
دعونا فقط نصبح اصدقاء,lets just be friends
اشعل الضوء من فضلك,turn on the light please
لدينا اخبار جيده,we have good news
لا تلعب هنا ابدا,never play here
انت بحاجه الي الاقلاع عن التدخين,you need to stop smoking
نسيت ان تطفئ المذياع البارحه اليس كذلك,last night you forgot to turn off the radio didnt you
لم اعلم انه شرب كثيرا,i didnt know he drank so much
انفجرت انابيب المياه عندنا,our water pipes burst
لقد كان يستحق العناء,it was well worth the trouble
توفي ابي قبل عامين,my father passed away two years ago
الانترنت مفيد جدا لمعرفه ظروف كل جزء من العالم,the internet is very useful for knowing the circumstances of each part of the world
تاخرت بسبب ازدحام الطريق,i was late because of the traffic
ساخبرك بما اريد فعله,ill tell you what i want you to do
انت لا يمكنك تحدث الانجليزيه هل يمكنك,you cant speak english can you
اهلا و سهلا بك في اليايان,welcome to japan
اوقف السياره,stop the car
سوف اذهب للتسوق بعد الغداء,im going to go shopping after lunch
يمكنك انت تقول اي شيء تريد,you can say whatever you want to
يمكنه القراءه بشكل جيد,he can read pretty well
ذهبت هذا الصباح الي الكنسيه,i went to church this morning
ساحبك الي الابد,ill love you forever
يقولون بانه لن يرجع,they say that he will never return
هذا ابشع رجل ثلجي رايته ابدا,thats the ugliest snowman ive ever seen
ناقشنا الخطه معه,we discussed the plan with him
لديها القليل من الكتب,she has a few books
يصدقنا القول دوما,he always tells the truth
صديقي لا يلعب التنس,my friend doesnt play tennis
علي ان انهض علي كل حال,i have to get up anyways
انها تعمل في مجال التسويق,she works in marketing
اهذه غرفتك,is that your room
موقعنا علي الوب متوقف للصيانه المجدوله,our website is offline for scheduled maintenance
عليك ان تذهب حالا,you must go at once
اشتاق اليك كثيرا,i miss you very much
غالبا ما تسبب الاصطدامات الخلفيه اصابه في الرقبه,rear end collisions often cause whiplash
ما الذي تفعله,whats she doing
اشتريت بضع طوابع بريديه,i bought a few stamps
حاولت ولكني فشلت,i tried but i failed
حمايتك هي مسؤوليتنا من الان فصاعدا,we are responsible for your protection from now on
لي اخت واحده,i have one sister
القطط تكره البلل,cats dislike being wet
الا تلعب التنس,dont you play tennis
كان الجميع بملابس انيقه,everybody was very well dressed
كيف خطرت ببالك فكره المعرض هذا,how did you come up with the idea for this exhibition
انوي ان انظف غرفتي,i intend to clean my room
عليك ان تدرس الانجليزيه بجهد اكبر,you must study english hard
ساعدني ابي في حل واجبي,my father helped me with my homework
مات مليون شخص في الحرب,one million people lost their lives in the war
كيف حال توم,hows tom
يمكن لتوم ان يقول شيئا,tom couldve said something
لم يكن لدي خيار,i didnt have a choice
توم يحب لعب الشطرنج,tom likes playing chess
انت تقريبا تحطمت في سيارتي,you almost crashed into my car
انا متاكد انك محقه,im sure youre right
انا طالب,i am a student
الحديقه العامه مليئه بالاطفال,the park is filled with children
نحن بمامن الان,were safe now
تسببت الفيضانات بخسائر فادحه,the flood caused a lot of damage
من ذلك الشخص,who is this person
اتخطي الاعلانات علي الفيديوهات كلما امكن,i skip ads on videos whenever i can
اشعر بالجوع,i am hungry
انه والدي,hes my father
تحدث الانجليزيه ممتع,its fun to speak in english
بدات محاضرته في موعدها,his lecture started on time
انه يحسن الكلام,he does speak well
اتبع تلك السياره,follow the car
دعونا نقم برحله الي استراليا,lets take a trip to australia
لم يكن كذلك,it wasnt like that
توم مات,tom died
يشاهد التلفاز احيانا,he sometimes watches tv
ليس بامكانكم ان تدخلوا جميعكم,you cant all come in
هل يداك نظيفتان,are your hands clean
يكره توم التسوق,tom hates shopping
هناك نافوره ماء للشرب قرب ملعب التنس,theres a drinking fountain by the tennis court
كلنا نخطئ,we all make mistakes
ذهب توم لمركز المدينه بعد الظهر,tom went downtown this afternoon
هل سبق ان ذهبت الي امريكا,have you ever been to america
ليس بمقدوري انهاء العمل قبل حلول الغد,i cannot possibly finish the work by tomorrow
رئيسي في العمل يكبرني عمرا بمرتين,my boss is twice as old as i am
عليك ان تقلع عن شرب الكحول,you should give up drinking
انه اخي,its my brothers
كان مشغولا طوال اليوم,he was very busy all day
انا لست المشكله,im not the problem
اهذا كتابك,is this book yours
بالكاد لم يصدقها احد,almost no one believed her
الباب مغلق,the door is closed
من الممكن انها ستاتي,she might come
احتاج لقلم,i need a pencil
اريد هذه الكاميرا,i want this camera
نعم انا اعلم,yes i know
دعينا لا نتحدث,lets not talk
tatoeba معناها علي سبيل المثال باللغه اليابانيه,tatoeba means for example in japanese
ماذا يفعلون الناس من اجل المتعه في بوسطن,what do people do for fun in boston
الزواج المثلي قانوني هنا,gay marriage is legal here
كيف ساسدد ديوني الان,how will i pay my debts now
الارض كوكب جميل,earth is a beautiful planet
اريد ان اطلب منك خدمه اخيره,i want to ask you one last favor
انها تتحدث بسرعه نسبيا,she speaks relatively fast
ستوصلك تلك الحافله الي حديقه الحيوان,that bus will take you to the zoo
هل لي ان اقاطع,may i interrupt
يبدو انه رجل امين,he looks like an honest man
هناك شيء لم اذكره,theres one thing i didnt mention
اغضبني توم,tom made me angry
ارتجفت خوفا,she trembled with fear
ماتا توم وماري,tom and mary are dead
ماذا صنع توم,what did tom make
ذلك لن يغير شيء,thatll change nothing
الكتاب احمر,the book is red
قابلت امراه عجوز,i met an old woman
انها تحب المثلجات,she likes ice cream
لم لم يعد يرسل لي رسائلا,why doesnt he send me letters anymore
احب ان اكون لوحدي,i love being alone
اعلم انه يراقبني,i know he is watching me
ساعيرك مذكرتي,ill lend you my notebook
امضينا وقتا ممتعا و نحن نلعب كره القاعده,we enjoyed playing baseball
اخبرني ما الذي يمكنني فعله لمساعدتك,tell me what i can do to help
اثرت فينا صداقتهم بشده,their friendship moved us deeply
حذائي اكبر من حذائك,my shoes are bigger than yours
نصحته الا يضع الكثير من السكر,she advised him not to use too much sugar
انه شخص جيد,hes a good person
انه لطيف جدا,he is very kind
ماذا عنك,how about you
هو كان اعمي منذ ولادته,he was blind from birth
لن يكون بوسعه القدوم بسبب مرضه,because hes sick he cant come
انا فقير,im poor
هل ستبيعه بيتك,will you sell your house to him
يتغذي القطيع علي العشب,cattle feed on grass
كف عن التصرف كالاطفال,stop acting like a child
اصيب ابي بذات الرئه الشهر الماضي,my father contracted pneumonia last month
اخبر توم انه يمكنه الذهاب عندما ينتهي,tell tom that when hes finished he can leave
لدي الم في اكتافي,i have a pain in my shoulders
كان من الاحسن لو تركت العمل اليوم,you had better stay away from work today
لا تستسلم فما زالت لديك فرصه,dont give up you still have a chance
اتود ان اساعدك,do you want me to give you a hand
احب الذهاب الي السينما,i love to go to the movies
هذا كتاب توم المفضل,this is toms favorite book
حجز مقعدا لي,he kept a seat for me
انه مشغول بشيء ما,he is busy doing something
انا ذاهب لادرس,i am going to study
الاطفال يحبون اللعب بمسدسات رش الماء في الصيف ليبقوا منتعشين,children love playing with squirt guns in the summer to stay cool
جاء توم في اخر لحظه,tom came just in the nick of time
ساجعلك سعيدا,ill make you happy
تبدا الاوبرا في الساعه السابعه,the opera starts at seven
انا متاكده انك محق,im sure youre right
اتمني لو اعيش قريبا من منزلك,i wish i could live near your house
انها تتحدث البولنديه,she speaks polish
يمكنني السباحه,i can swim
يبدو توم بحال جيده,tom seems ok now
انت فيلسوف اليس كذلك,youre a philosopher arent you
كان توم ياكل العشاء عندما وصلت ماري,tom was eating dinner when mary arrived
كنت سعيدا بالامس,i was happy yesterday
نحن في حداد,were in mourning
اين اختك,wheres your sister
انا متاكد اني استطيع ان افعل هذا بطريقه او باخري,im pretty sure i can do it one way or another
هل ذهب سبوت ايضا,did spot go too
الي كم ساعه من النوم تحتاج,how many hours of sleep do you need
ليس عندنا الا الشاي,we only have tea
تظاهر توم بانه غاضب,tom pretended to be angry
انت تفهمني,you understand me
تتراوح درجه الحراره في الصيف من ثلاثين الي اربعين درجه,in the summer the temperature ranges from thirty to forty degrees celsius
انني متعب قليلا,im a little tired
هل انت غاضب مما قلت,are you angry at what i said
لقد رايت ذلك,i saw that
سئمت من سماع نفس الموشح دائما,im sick of hearing the same thing all the time
علمت ان شيئا سيئا قد يحدث,i knew that something bad might happen
لمن هذه الكتب,whose books are these
اين تحس بالوجع,where is the pain
عثرت علي كره في الحديقه,she found a ball in the garden
كم تبعد عن هنا,how far is it from here
اوقف هذا حالا,stop it right now
سوف احضر الطعام,ill get the food
اتصل بي توم مرات كثيره الاسبوع الماضي,tom has called me many times this past week
ستبدا المسرحيه في الساعه الثامنه,the play is at eight oclock
لن يعجبك ما ساقول,youre not going to like what im going to say
ماذا فعلت هذا الصباح,what did you do this morning
انه جو رائع اليس كذلك,great weather isnt it
انه ذكي,hes smart
لا استطيع فهم ما تقول,i cant understand what youre saying
هل يجب علي ان اجيب علی اسئلتك كلها,do i have to answer all of the questions
ساوصلك الي المطار,ill drive you to the airport
لا يمكنني فهم ما تعنيه هذه الجمله بالضبط,i cant get at the exact meaning of the sentence
احب ذلك الكلب,i like the dog
اريد ان اتعلم السباحه,i want to learn to swim
سالتني كم عمري,she asked me how old i was
دراجته زرقاء,his bicycle is blue
انس الامر,forget it
هناك الكثير مما اود قوله لك,theres so much i want to say to you
توم جاء الي هنا قبل الغروب,tom got here before sunrise
عندما تكون في روما تصرف كما يتصرف الرومان,when in rome do as the romans do
